iter	RMSE
328	42438.36227
329	42427.28453
330	42414.41655
331	42411.50912
332	42400.53056
333	42393.57197
334	42387.31591
335	42381.426
336	42378.40273
337	42375.01504
338	42369.96207
339	42363.05963
340	42354.31233
341	42347.79194
342	42346.14362
343	42339.42101
344	42330.92045
345	42328.21651
346	42324.81515
347	42313.56217
348	42308.15229
349	42306.9789
350	42305.51084
351	42299.65142
352	42296.21837
353	42291.16878
354	42289.38993
355	42286.36079
356	42280.7826
357	42276.14909
358	42273.93522
359	42272.19815
360	42268.29901
361	42265.11775
362	42260.44378
363	42254.43284
364	42252.54131
365	42250.81391
366	42240.1549
367	42239.14233
368	42236.26308
369	42233.4978
370	42228.87184
371	42227.25675
372	42223.23634
373	42215.73741
374	42212.80164
375	42210.18618
376	42208.68333
377	42206.25289
378	42203.74897
379	42200.5214
380	42197.62537
381	42195.72692
382	42193.10175
383	42185.66011
384	42178.93251
385	42177.43973
386	42171.12469
387	42168.93721
388	42168.10398
389	42159.76455
390	42157.46326
391	42156.57349
392	42154.43231
393	42151.2897
394	42149.7576
395	42141.39956
396	42136.01174
397	42135.29891
398	42129.84247
399	42124.93226
400	42122.6826
401	42119.64317
402	42113.6139
403	42109.93841
404	42106.41547
405	42101.85908
406	42100.2878
407	42097.34133
408	42091.44166
409	42090.54809
410	42088.21631
411	42082.26242
412	42079.17258
413	42078.6168
414	42078.5077
415	42076.26062
416	42073.73734
417	42069.8753
418	42065.15515
419	42064.33404
420	42058.75545
421	42057.19019
422	42057.03533
423	42055.46708
424	42054.44564
425	42049.46259
426	42049.41533
427	42045.38062
428	42043.59698
429	42040.43812
430	42038.25327
431	42031.79092
432	42029.94523
433	42029.9039
434	42027.79976
435	42026.77798
436	42025.11147
437	42020.18197
438	42018.09447
439	42016.22488
440	42015.65368
441	42015.36116
442	42014.552
443	42013.24973
444	42012.78005
445	42007.34078
446	42007.30552
447	42000.80268
448	41999.92151
449	41996.87596
450	41994.91708
451	41993.81916
452	41991.43702
453	41989.01879
454	41984.09163
455	41982.66995
456	41979.33149
457	41977.43681
458	41977.25382
459	41973.67325
460	41968.00658
461	41962.37117
462	41960.7659
463	41960.65272
464	41960.24571
465	41960.03166
466	41956.46547
467	41956.09522
468	41952.5683
469	41951.40981
470	41949.81228
471	41946.26569
472	41942.24214
473	41942.21896
474	41939.43228
475	41937.99636
476	41937.78919
477	41933.32839
478	41930.06622
479	41927.74025
480	41925.68193
481	41923.36916
482	41922.13125
483	41917.48394
484	41913.40593
485	41909.73612
486	41907.58069
487	41900.55975
488	41898.54852
489	41897.91718
490	41896.23571
491	41893.04939
492	41890.1867
493	41886.87809
494	41882.38255
495	41877.6875
496	41877.33894
497	41876.99439
498	41876.42542
499	41875.23223
500	41866.43193
501	41866.35393
502	41865.74758
503	41862.95036
504	41861.45788
505	41861.12775
506	41858.98542
507	41857.62109
508	41854.59433
509	41854.53217
510	41851.96138
511	41848.30939
512	41847.9457
513	41838.0713
514	41837.41936
515	41834.26279
516	41832.26348
517	41831.83871
518	41831.7611
519	41829.52788
520	41825.6208
521	41822.69086
522	41819.74815
523	41815.96967
524	41814.16878
525	41813.21876
526	41813.18723
527	41809.3551
528	41804.96875
529	41801.71707
530	41799.10367
531	41798.87939
532	41797.87218
533	41794.54887
534	41788.5522
535	41786.15078
536	41785.9631
537	41785.21388
538	41782.80224
539	41779.80017
540	41776.63388
541	41776.18197
542	41771.88369
543	41769.22829
544	41766.04233
545	41765.32929
546	41764.33562
547	41761.70961
548	41758.68581
549	41755.47026
550	41753.60505
551	41752.24162
552	41750.10866
553	41745.26349
554	41743.61548
555	41740.54612
556	41739.87087
557	41734.17866
558	41733.51919
559	41730.70803
560	41730.59393
561	41727.13571
562	41726.19885
563	41725.03428
564	41724.06214
565	41723.11404
566	41721.98557
567	41719.72938
568	41717.09159
569	41713.8184
570	41713.29118
571	41710.36108
572	41708.29535
573	41706.7858
574	41706.27218
575	41704.57836
576	41703.51557
577	41702.40393
578	41698.12068
579	41696.33722
580	41694.70424
581	41693.62387
582	41691.93125
583	41687.02907
584	41683.17035
585	41680.31001
586	41679.01324
587	41676.77636
588	41675.92947
589	41671.72431
590	41668.74983
591	41667.62754
592	41664.31879
593	41664.08101
594	41663.08688
595	41662.33027
596	41660.18511
597	41657.90605
598	41655.15976
599	41652.85521
600	41652.59318
601	41650.98796
602	41649.39466
603	41647.47425
604	41643.6676
605	41642.03662
606	41641.20595
607	41637.1888
608	41632.62306
609	41629.3718
610	41628.17396
611	41624.77514
612	41623.07088
613	41621.09588
614	41620.78618
615	41620.14858
616	41618.78188
617	41617.84858
618	41614.33387
619	41612.33273
620	41609.97955
621	41608.45474
622	41605.7157
623	41602.73051
624	41599.3685
625	41597.22515
626	41597.05189
627	41595.87322
628	41593.41955
629	41592.70429
630	41589.00642
631	41588.46302
632	41588.42956
633	41584.97114
634	41584.79738
635	41581.57526
636	41580.59699
637	41579.33903
638	41578.41693
639	41576.38829
640	41574.41138
641	41574.10998
642	41572.81421
643	41571.55671
644	41570.46451
645	41565.87606
646	41563.95011
647	41562.05321
648	41557.62817
649	41556.95175
650	41554.39265
651	41552.59552
652	41551.9943
653	41549.99634
654	41548.5361
655	41547.93952
656	41547.65568
657	41546.03931
658	41544.34652
659	41543.67363
660	41542.48081
661	41541.9032
662	41538.11763
663	41536.29553
664	41534.82424
665	41534.38039
666	41532.96452
667	41531.21726
668	41529.62666
669	41528.78135
670	41528.01011
671	41527.68391
672	41525.38708
673	41525.03516
674	41523.08279
675	41522.46359
676	41519.67416
677	41518.12158
678	41513.23495
679	41511.46809
680	41510.28397
681	41507.41654
682	41505.18322
683	41502.29197
684	41499.77858
685	41496.26988
686	41494.43664
687	41493.68698
688	41493.54352
689	41492.88695
690	41492.05353
691	41490.88058
692	41485.66653
693	41484.24947
694	41481.46598
695	41478.91382
696	41477.77141
697	41475.82179
698	41475.01856
699	41472.75181
700	41471.26044
701	41469.37469
702	41467.91781
703	41467.74453
704	41464.85794
705	41463.88182
706	41463.34074
707	41460.64824
708	41460.43196
709	41457.69523
710	41455.91399
711	41455.0692
712	41454.23193
713	41453.31616
714	41453.24535
715	41452.66503
716	41449.81186
717	41447.96457
718	41445.41833
719	41444.99789
720	41443.24584
721	41438.73768
722	41436.68652
723	41429.4203
724	41426.57716
725	41426.32062
726	41424.44952
727	41423.6436
728	41423.00255
729	41410.35581
730	41410.23045
731	41409.60857
732	41408.2917
733	41407.87687
734	41406.37826
735	41403.56662
736	41400.98206
737	41400.24023
738	41400.02621
739	41397.11656
740	41394.23076
741	41392.37864
742	41391.76838
743	41390.5482
744	41385.11368
745	41381.85901
746	41380.73424
747	41377.91771
748	41375.49192
749	41374.19149
750	41372.85303
751	41371.23257
752	41370.82902
753	41370.53163
754	41369.06077
755	41366.21812
756	41364.31259
757	41364.13758
758	41363.81017
759	41362.65648
760	41358.06391
761	41356.32157
762	41355.12333
763	41354.9951
764	41354.03071
765	41350.90859
766	41346.76573
767	41346.196
768	41344.82858
769	41343.46327
770	41343.0742
771	41342.88058
772	41340.94073
773	41340.58862
774	41340.39314
775	41339.78932
776	41336.2334
777	41336.21523
778	41333.64497
779	41332.26374
780	41329.68633
781	41327.41999
782	41325.85353
783	41323.4676
784	41321.69886
785	41321.31336
786	41320.50211
787	41318.25858
788	41316.9643
789	41316.15733
790	41314.79549
791	41313.52115
792	41312.27644
793	41311.53629
794	41307.13872
795	41306.88378
796	41305.74699
797	41302.36477
798	41300.78813
799	41298.85031
800	41297.28218
801	41296.50193
802	41296.42249
803	41295.11917
804	41294.19887
805	41293.50057
806	41293.38956
807	41292.1687
808	41287.67303
809	41287.31369
810	41285.80072
811	41285.27848
812	41281.87307
813	41279.11258
814	41278.03221
815	41277.14345
816	41276.07399
817	41274.63956
818	41273.6597
819	41270.33286
820	41267.83666
821	41266.53989
822	41265.17174
823	41264.39938
824	41263.55048
825	41260.12933
826	41257.95619
827	41257.53277
828	41255.64847
829	41254.44074
830	41252.04706
831	41251.38368
832	41248.63335
833	41247.33482
834	41245.62889
835	41245.53091
836	41243.23576
837	41242.35397
838	41240.39647
839	41238.43439
840	41237.14252
841	41230.94947
842	41227.51895
843	41226.92617
844	41225.89485
845	41223.19241
846	41220.27979
847	41218.44265
848	41215.55529
849	41213.81714
850	41211.32704
851	41208.86675
852	41205.05006
853	41204.51257
854	41200.23251
855	41199.16662
856	41195.55537
857	41193.76046
858	41192.97498
859	41191.8113
860	41189.97507
861	41189.13239
862	41186.56851
863	41185.88562
864	41183.25856
865	41182.42243
866	41181.88033
867	41181.17294
868	41178.03453
869	41177.46381
870	41176.07827
871	41174.95973
872	41174.58216
873	41173.86132
874	41172.88119
875	41172.48544
876	41171.36519
877	41171.19832
878	41168.48828
879	41167.22063
880	41166.78957
881	41165.9312
882	41165.58237
883	41164.86812
884	41163.59774
885	41161.37578
886	41160.81324
887	41159.35677
888	41158.26657
889	41156.92832
890	41155.23927
891	41154.43422
892	41153.56771
893	41151.84269
894	41148.24408
895	41145.51712
896	41144.93749
897	41140.98851
898	41140.6861
899	41138.0469
900	41137.88488
901	41136.00985
902	41135.85317
903	41135.36483
904	41132.5583
905	41132.5312
906	41131.45878
907	41130.9016
908	41130.31593
909	41128.95292
910	41126.86829
911	41126.32833
912	41126.1056
913	41124.67657
914	41124.29006
915	41123.12155
916	41122.2823
917	41119.34595
918	41119.16115
919	41114.54305
920	41114.33426
921	41113.46713
922	41112.78596
923	41112.37436
924	41111.02307
925	41109.2426
926	41108.71873
927	41107.4073
928	41104.77041
929	41103.751
930	41095.50662
931	41091.56257
932	41089.88443
933	41088.19359
934	41087.55732
935	41085.854
936	41085.47584
937	41084.69696
938	41083.73214
939	41079.45396
940	41075.18463
941	41072.62522
942	41069.67485
943	41069.62969
944	41069.30935
945	41067.57957
946	41065.71673
947	41065.28105
948	41063.59417
949	41062.85024
950	41062.64583
951	41061.93026
952	41061.29293
953	41060.4513
954	41057.43061
955	41057.27026
956	41056.91357
957	41052.77145
958	41049.73458
959	41047.65043
960	41045.55625
961	41045.21303
962	41044.99802
963	41044.21013
964	41043.31585
965	41042.67721
966	41040.84501
967	41039.94492
968	41038.75118
969	41034.60163
970	41034.09197
971	41031.74144
972	41029.17842
973	41028.12588
974	41026.7273
975	41026.02934
976	41025.34616
977	41024.42416
978	41023.04811
979	41021.49829
980	41019.26776
981	41018.12096
982	41016.42804
983	41015.77487
984	41014.7027
985	41013.82171
986	41011.48918
987	41011.04316
988	41010.15571
989	41008.16604
990	41008.08158
991	41007.48899
992	41006.30409
993	41005.26907
994	41005.11934
995	41004.20814
996	41002.75619
997	41002.62464
998	41001.05953
999	41000.33879
